peak_index,mz,mass_resolution,snr,intensity,base_peak_ratio,fwhm
575,404.2113,15425,15.2,154,0.1,0.0262
576,405.0805,11899,14.5,148,0.1,0.034
577,405.1182,12241,24.5,250,0.2,0.0331
578,405.1428,14200,28.6,292,0.2,0.0285
579,405.1755,17516,64.8,660,0.5,0.0231
580,405.2404,28896,187.7,1915,1.6,0.014
581,406.1129,9091,16.1,166,0.1,0.0447
582,406.1534,8267,18.6,191,0.2,0.0491
583,406.1815,13425,21.8,223,0.2,0.0303
584,406.243,26278,44.9,461,0.4,0.0155
585,406.9012,29297,18,186,0.2,0.0139
586,407.1596,14159,21.4,221,0.2,0.0288
587,407.1733,17605,21.1,218,0.2,0.0231
588,407.1958,17713,21.9,226,0.2,0.023
589,407.2445,11592,13,134,0.1,0.0351
590,408.1239,10739,20.9,215,0.2,0.038
591,408.1703,9256,17.8,184,0.1,0.0441
592,408.2039,12708,13.8,142,0.1,0.0321
593,408.2438,23542,18.1,187,0.2,0.0173
594,409.1281,12774,17.3,179,0.1,0.032
595,409.1574,21291,18.2,188,0.2,0.0192
596,409.1766,12875,23,237,0.2,0.0318
597,409.2347,12982,16.8,173,0.1,0.0315
598,410.1514,10183,13.3,137,0.1,0.0403
599,410.1847,11471,18,186,0.2,0.0358
600,411.1316,16007,17.5,180,0.1,0.0257
601,411.1551,16007,16.8,174,0.1,0.0257
602,411.1691,21343,16.4,170,0.1,0.0193
603,411.1859,18294,14.8,153,0.1,0.0225
604,411.2059,16292,15.9,164,0.1,0.0252
605,411.2411,22905,17.6,182,0.1,0.018
606,412.1166,14245,13.4,139,0.1,0.0289
607,412.1336,12821,13.7,142,0.1,0.0321
608,412.1603,14246,12.1,125,0.1,0.0289
609,412.202,13554,11.9,123,0.1,0.0304
610,413.1142,13728,15.5,160,0.1,0.0301
611,413.1472,11670,14.5,150,0.1,0.0354
612,413.1667,21395,12.1,125,0.1,0.0193
613,413.1842,16047,12.1,125,0.1,0.0257
614,414.1271,8609,12.9,133,0.1,0.0481
